SERV_PROV_CODE,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3,B1_WORK_DESC,REC_DATE,REC_FUL_NAM,REC_STATUS
ASHEVILLE,04HIS,00000,02852,NULL,2016-03-11 14:55:56.277,AA CONV,A
ASHEVILLE,04HIS,00000,02854,NULL,2016-03-11 14:55:56.123,AA CONV,A
ASHEVILLE,04HIS,00000,02855,NULL,2016-03-11 14:55:55.987,AA CONV,A
ASHEVILLE,04HIS,00000,02856,NULL,2016-03-11 14:55:55.543,AA CONV,A
ASHEVILLE,04HIS,00000,02858,NULL,2016-03-11 14:55:55.400,AA CONV,A
ASHEVILLE,04HIS,00000,02859,NULL,2016-03-11 14:55:55.160,AA CONV,A
ASHEVILLE,04HIS,00000,02860,NULL,2016-03-11 14:57:10.667,AA CONV,A
ASHEVILLE,04HIS,00000,02861,NULL,2016-03-11 14:57:10.513,AA CONV,A
ASHEVILLE,04HIS,00000,02862,NULL,2016-03-11 14:57:10.303,AA CONV,A
ASHEVILLE,09HIS,00000,03194,HARTY REMODEL/DECK,2016-03-08 10:14:42.350,AA CONV,A
ASHEVILLE,12HIS,00000,00147,KINGDOM CRUSADERS,2016-08-16 11:07:17.853,AA CONV,A
ASHEVILLE,13EST,00000,00406,water line replacement,2017-01-03 09:26:04.377,PUBLICUSER85,NULL
ASHEVILLE,13HIS,00000,04354,CREATING 2 BEDROOM HOMESTAY FOR HEATHER LYONS,2016-02-11 09:40:00.437,SSALYER,A
ASHEVILLE,13HIS,00000,04702,"BROCK, RICHARD",2016-04-01 10:26:15.773,AA CONV,A
ASHEVILLE,14CAP,00000,006RS,"CONSTRUCTION OF NEW BREWERY SMALLER BUILDING FOR VISITOR CENTER/LIQUID CENTER AT 4,889 SG FT. LARGER BUILDING PERMITTED UNDER 14-4114 AND SITE APPROVAL 12-6069",2016-04-28 15:34:06.777,SCARVER,A
ASHEVILLE,14CAP,00000,00A2K,Multi-Family Residential Development at Thompson Ave and Stoner,2016-02-02 10:04:25.330,NWATFORD,A
ASHEVILLE,14EST,00000,01549,3,2017-02-03 14:52:40.197,PUBLICUSER1036,NULL
ASHEVILLE,15CAP,00000,003D6,"CONVERSION OF WORKSHOP/STORAGE TO SINGLE FAMILY RESIDENCE BY ADDING TWO BEDROOMS WITH EGRESS, 1 BATHROOM, AND GALLEY KITCHEN FOR HEDGEROW, LLC. REC AMENDMENT FINISHING BASEMENT SPACE BELOW MAIN LIVING AREA AND FIRE SEAL CEILING OF GARAGE, SAME HVAC CONTRACTOR",2016-03-15 14:54:45.597,ACARROLL,A
ASHEVILLE,15CAP,00000,006X3,"CONSTRUCTION OF 4 STORY, WITH A BASEMENT, WALK UP APARTMENT BUILDING WITH FUTURE CORNER MERCANTILE SPACE, 32 RESIDENTIAL UNTIS, REC AMENDMENT, CHANGING A 2 HR. WALL TO A 1 HOUR WALL, WALL IS NON-LOAD BEARING; REC AMENDMENT; REVISED DRAWINGS ON GROUNDING DETAIL.",2017-02-21 13:38:26.160,SCARVER,A
ASHEVILLE,15CAP,00000,007I3,"PHASE 2 DEVELOPMENT: REPAINT, REPLACE AWNINGS (NO LETTERING), AND ADD DECORATIVE ELEMENTS TO THE EXISTING SHOPPING CENTER FACADE FOR RIVER RIDGE SHOPPING CENTER",2016-01-14 12:27:52.563,ACARROLL,A
ASHEVILLE,15CAP,00000,008N2,"waiver - NEW CUSTOM HOME WITH RETAINING WALL; REC AMENDMENT TO ADD SECOND ELECTRICAL TO ADD PV ELECTRICAL TO EXISTING PERMIT, JUST TO ALLOW FOR A FUTURE PV ROUGH IN",2016-01-26 16:03:20.113,GMISER,A
