RecordId,RecordType,Type,SubType,Category,Task,TaskStatus,SLADesc,DUE,FIrstPlanReviewedDate
16-05264,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Addressing,Approved - Fees Due,Small Comm - 10 Days,05/10/2016,06/02/2016
16-05264,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Building Review,Hold for Revision,Small Comm - 10 Days,05/10/2016,06/02/2016
16-05264,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Fire Review,Approved,Small Comm - 10 Days,05/10/2016,06/02/2016
16-05264,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Zoning Review,Hold for Revision,Small Comm - 10 Days,05/10/2016,06/02/2016
16-05422,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Quick Touch - 3 Days,05/05/2016,05/02/2016
16-05424,Res: New SFD,Residential,New Building,SFD,Addressing,Approved,Res. Waiver - 2 Days,05/04/2016,05/03/2016
16-05424,Res: New SFD,Residential,New Building,SFD,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/04/2016,05/02/2016
16-05430,Colocation,Commercial,Accessory Structure,Telecom Colocation,Building Review,Approved,Small Comm - 10 Days,05/16/2016,05/18/2016
16-05430,Colocation,Commercial,Accessory Structure,Telecom Colocation,Zoning Review,Approved,Small Comm - 10 Days,05/16/2016,05/12/2016
16-05437,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Building Review,Approved,Quick Touch - 3 Days,05/05/2016,05/02/2016
16-05437,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Fire Review,Approved,Quick Touch - 3 Days,05/05/2016,05/05/2016
16-05439,Com: Alterations,Commercial,Existing Building,Alterations,Addressing,Hold for Revision,Small Comm - 10 Days,05/16/2016,05/12/2016
16-05439,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Hold for Revision,Small Comm - 10 Days,05/16/2016,05/20/2016
16-05439,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/16/2016,07/20/2016
16-05439,Com: Alterations,Commercial,Existing Building,Alterations,Zoning Review,Hold for Revision,Small Comm - 10 Days,05/16/2016,07/25/2016
16-05440,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Addressing,Approved - No Fees,Small Comm - 10 Days,05/16/2016,06/06/2016
16-05440,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Building Review,Hold for Revision,Small Comm - 10 Days,05/16/2016,05/20/2016
16-05440,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Fire Review,Approved,Small Comm - 10 Days,05/16/2016,08/10/2016
16-05440,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Zoning Review,Disapproved,Small Comm - 10 Days,05/16/2016,05/06/2016
16-05441,Res: Detached Bldg,Residential,Accessory Structure,Other,Addressing,Approved - Fees Due,Res. Waiver - 2 Days,05/04/2016,05/19/2016
16-05441,Res: Detached Bldg,Residential,Accessory Structure,Other,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/04/2016,05/04/2016
16-05443,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Quick Touch - 3 Days,05/05/2016,05/03/2016
16-05443,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Quick Touch - 3 Days,05/05/2016,05/05/2016
16-05444,Res: Retaining Wall,Residential,Accessory Structure,Retaining Wall,Building Review,Approved,Residential - 10 Days,05/16/2016,05/17/2016
16-05444,Res: Retaining Wall,Residential,Accessory Structure,Retaining Wall,Zoning Review,Approved,Residential - 10 Days,05/16/2016,05/03/2016
16-05446,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Residential - 10 Days,05/16/2016,05/20/2016
16-05446,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Residential - 10 Days,05/16/2016,05/06/2016
16-05449,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Hold for Revision,Residential - 10 Days,05/16/2016,05/19/2016
16-05449,Res: Alterations,Residential,Existing Building,Alterations,Zoning Review,Approved,Residential - 10 Days,05/16/2016,06/06/2016
16-05453,Com: Reroof,Commercial,Existing Building,Reroof,Building Review,Approved,Quick Touch - 3 Days,05/05/2016,05/04/2016
16-05453,Com: Reroof,Commercial,Existing Building,Reroof,Fire Review,Approved,Quick Touch - 3 Days,05/05/2016,05/06/2016
16-05456,Com: Reroof,Commercial,Existing Building,Reroof,Building Review,Approved,Quick Touch - 3 Days,05/05/2016,05/17/2016
16-05463,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Hold for Revision,Small Comm - 10 Days,05/17/2016,05/24/2016
16-05463,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/17/2016,06/21/2016
16-05466,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Building Review,Approved,Quick Touch - 3 Days,05/06/2016,05/04/2016
16-05466,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Fire Review,Approved,Quick Touch - 3 Days,05/06/2016,05/05/2016
16-05471,Res: Solar,Residential,Accessory Structure,Solar Array,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/05/2016,05/03/2016
16-05493,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Building Review,Approved,Small Comm - 10 Days,05/17/2016,05/20/2016
16-05493,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Fire Review,Approved,Small Comm - 10 Days,05/17/2016,05/26/2016
16-05496,Res:Addition,Residential,Existing Building,Addition,Building Review,Approved,Small Comm - 10 Days,05/17/2016,05/23/2016
